Date,Open,High,Low,Close,Volume
2025-10-03,180.0,182.74,178.91,182.63,1610376
2025-10-04,182.63,185.74,181.94,185.61,818517
2025-10-05,185.61,185.73,183.07,184.26,1434702
2025-10-06,184.26,188.47,183.81,186.72,1052008
2025-10-07,186.72,188.14,182.77,183.83,1535157
2025-10-08,183.83,187.31,183.39,186.5,611946
2025-10-09,186.5,188.14,182.33,183.45,1474444
2025-10-10,183.45,185.27,182.05,183.27,1296202
2025-10-11,183.27,183.63,182.21,183.51,2071734
2025-10-12,183.51,185.15,182.17,184.44,1684506
2025-10-13,184.44,187.49,183.77,187.1,1609700
2025-10-14,187.1,187.61,184.98,186.71,2157982
2025-10-15,186.71,187.87,183.08,184.56,666548
2025-10-16,184.56,185.37,183.18,183.28,543675
2025-10-17,183.28,186.94,182.78,185.13,1573046
2025-10-18,185.13,187.13,183.69,185.32,2384084
2025-10-19,185.32,185.49,182.19,183.48,2494557
2025-10-20,183.48,185.69,182.2,185.37,1831694
2025-10-21,185.37,189.48,184.87,188.53,2138071
2025-10-22,188.53,190.78,188.41,190.25,1168507
2025-10-23,190.25,191.97,187.8,188.86,1084234
2025-10-24,188.86,190.65,187.01,190.57,950572
2025-10-25,190.57,191.16,187.9,188.59,1744381
2025-10-26,188.59,188.8,187.97,188.38,777518
2025-10-27,188.38,188.59,188.29,188.33,942567
2025-10-28,188.33,190.33,187.2,189.98,687083
2025-10-29,189.98,193.28,189.5,191.53,1122598
2025-10-30,191.53,191.56,189.26,190.93,1174647
2025-10-31,190.93,191.27,189.24,190.55,2180061
2025-11-01,190.55,190.99,188.17,188.64,1837765
2025-11-02,188.64,189.92,185.8,187.36,1919358
2025-11-03,187.36,191.04,186.61,189.28,645693
2025-11-04,189.28,190.79,187.16,188.44,1135734
2025-11-05,188.44,189.57,188.2,189.32,1833924
2025-11-06,189.32,190.45,187.02,188.56,1322313
2025-11-07,188.56,188.58,186.26,187.15,2423717
2025-11-08,187.15,188.49,184.62,184.94,1002124
2025-11-09,184.94,186.69,183.75,184.71,1366630
2025-11-10,184.71,184.9,181.35,181.82,685133
2025-11-11,181.82,182.6,178.9,180.05,1314048
2025-11-12,180.05,180.99,177.81,179.6,2450280
2025-11-13,179.6,180.82,177.83,178.49,1011719
2025-11-14,178.49,180.12,176.37,176.59,2152501
2025-11-15,176.59,177.13,175.07,176.76,2319280
2025-11-16,176.76,177.88,176.49,177.0,2254769
2025-11-17,177.0,180.33,175.53,180.18,1854793
2025-11-18,180.18,181.62,178.48,180.04,1285117
2025-11-19,180.04,182.19,179.83,182.12,1264273
2025-11-20,182.12,184.26,181.36,183.58,1918674
2025-11-21,183.58,184.41,182.0,183.5,2116221
2025-11-22,183.5,184.28,181.3,183.07,1684695
2025-11-23,183.07,183.28,181.37,183.19,1421152
2025-11-24,183.19,183.54,179.08,180.68,2298592
2025-11-25,180.68,181.54,177.05,178.11,1776133
2025-11-26,178.11,178.82,177.18,178.52,1618966
2025-11-27,178.52,181.96,176.86,180.76,2134308
2025-11-28,180.76,183.15,179.79,182.94,2229637
2025-11-29,182.94,183.12,182.33,183.09,1199430
2025-11-30,183.09,184.75,180.69,182.12,646676
2025-12-01,182.12,185.71,181.3,184.98,1445397
2025-12-02,184.98,185.34,180.28,181.71,1150438
2025-12-03,181.71,185.59,180.52,183.87,1760776
2025-12-04,183.87,185.43,181.58,182.93,2242589
2025-12-05,182.93,186.51,182.82,185.29,718341
2025-12-06,185.29,188.22,185.15,187.77,1728140
2025-12-07,187.77,190.22,187.41,188.51,2469600
2025-12-08,188.51,189.14,185.62,186.84,2422480
2025-12-09,186.84,189.36,186.62,188.27,1264329
2025-12-10,188.27,191.51,187.51,190.39,2483403
2025-12-11,190.39,194.14,190.03,193.73,595099
2025-12-12,193.73,197.87,192.47,196.57,2368144
2025-12-13,196.57,199.4,195.86,197.79,966813
2025-12-14,197.79,199.64,195.59,197.38,2415404
2025-12-15,197.38,199.96,197.32,198.8,2291233
2025-12-16,198.8,200.54,197.8,198.36,1052389
2025-12-17,198.36,199.1,194.22,195.15,906512
2025-12-18,195.15,196.54,194.31,196.24,1626834
2025-12-19,196.24,196.24,192.21,193.79,1221729
2025-12-20,193.79,195.0,192.14,192.25,1864039
2025-12-21,192.25,193.02,190.17,191.33,1986412
